politician_name,revision_id
Soraya Mouloudji,1226335614
Yacine Oualid,1214837789
Abderezak Sebgag,1212579707
Abderrachid Tabbi,1218530483
Ahmed Zeghdar,1213778323
Ana Paula Chantre Luna de Carvalho,1209514022
Karim Bibi Triki,1213794210
Layachi Yaker,1226060720
Naima Salhi,1213404244
Paulino Baptista,1242307496
Abel Chivukuvuku,1165626565
Adjany Costa,1242000475
Arlete Chimbinda,1177486404
Carolina Cerqueira,1241977204
Fiel Domingos Constantino,1217387083
Jeremias Chitunda,1220287872
Kafundanga Chingunji,1191431794
Diamantino Pedro Azevedo,1209522689
Jesus Faria Maiato,1209631313
Kambamba Kulaxingo,1093124425
Raul Danda,1158035855
David Mendes,1024544204
Fernando Faustino Muteka,1241977176
Manuel Neto da Costa,1209411144
Manuel Tavares de Almeida,1209411217
Marcos Alexandre Nhunga,1209413818
Pedro Mutinde,1209539718
Ana Paula Sacramento Neto,1227909121
Daniel Ntongi-Nzinga,1187961349
Elias Salupeto Pena,1220287990
Johnny Eduardo Pinnock,1242307359
Paula Cristina Francisco Coelho,1209410923
Branca Manuel Espirito Santo,1142474441
Jonas Savimbi,1246026420
Manuel Bernardo de Sousa,1233607984
Clement Antonio,1241563106
James Carlisle,1242152285
Manuel Vicente,1250493481
Mfulupinga Nlando Victor,1243272129
Randolph Beazer,1247631912
Studiation Brown,825090349
Caleb Gardiner,1241563135
Cheryl Mary Clare Hurst,1242813942
Gail Christian,1241563122
Mackenzie Frank,1247632329
Osbert Richard Frederick,1241563130
Shenella Mary Shadida Govia,1241563138
Tim Hector,1227026341
Wilfred Jacobs,1246340247
William Haynes-Smith,1250666577
David Massiah,1247632248
Dwayne George,1247631631
Edmond Mansoor,1248648606
Fabian Jones,1247632282
Harold Lovell,1241564680
Joanne Massiah,1241592526
Kelvin Simon,1241592202
Kiz Johnson,1247632301
Knacyntar Nedd,1247514093
Alincia Williams-Grant,1241592542
Bernard Percival,1241564686
Jamale Pringle,1241592215
Juan Alemann,1227499891
Melford Nicholas,1241592535
Philip Shoul,1247632342
Rawdon Turner,1247632346
Shawn Nicholas,1247632364
Antonio Bermejo,1225811362
Antonio Beruti,1243926512
Exequiel Bustillo,1188044851
Marco Aurelio Avellaneda,1233010330
Mario Cafiero,1135193654
Silvano Bores,1225775647
Uladislao Augier,1217815124
Alberto Manuel Campos,1166331326
Alejo Castex,1231276700
Carlos Corach,1227620960
Carlos de la Rosa,1209668330
Jorge Coscia,1227459720
Juan Carlos Del Bello,1225784914
Rossana Chahla,1227517224
Federico Helguera,1162056054
Guillermo Francos,1245178482
Juan Fugl,1148828249
Santiago Gallo,1039135531
Carlos Kunkel,1225799546
Lucio Victorio Mansilla,1210433646
Norberto La Porta,1225799869
Ricardo Kennedy,1240898573
Alfredo Olmedo,1226445117
Carlos Petroni,1199679676
Fernando Nadra,1238199017
Guillermo Montenegro,1096175549
Juan Mignaburu,1166892817
Marcelo Muniagurria,1242262794
Mariano Moreno,1248788227
Abel Posse,1245068036
Aldo Pignanelli,1106856167
Alejo Peyret,1138003698
Claudio Uberti,1245464700
Enrique S. Quintana,1016343362
Juan Pablo Schiavi,1195011460
Andrias Ghukasyan,1214660728
Ashot Arsenyan,1218601969
Gurgen Egiazaryan,1103745376
Hayk Chobanyan,1231768992
Jorge Yoma,1191859791
Parunak Ferukhan,1214660598
Vahagn Hovakimyan,1224369324
Vigen Chitechyan,1124301399
Aram Manukyan,1214661551
Gevorg Melik-Karagyozyan,1180063778
Hrant Maloyan,1250311867
Khachatur Malumian,1210493386
Mikayel Kotanyan,1226313476
Ruben Miroyan,1228290809
Ruben Mirzakhanyan,1214661775
Tigran Karapetyan,1231946069
Tigran Khzmalyan,1237979345
Vahan Minakhoryan,1214661649
Badal Muradyan,1214662146
Gabriel Noradoungian,1240224564
Garo Paylan,1249622641
Genrikh Poghosyan,1214662694
Ishkhan Saghatelyan,1243510830
Israel Ori,1214986895
Martiros Sarukhanyan,1214669503
Narine Tukhikyan,1233470777
Paul Paul,1215924661
Alfons Adam,1244617588
Hrayr Tovmasyan,1243511026
Ingo Appelt,1244447844
Kegham Vanigian,1214670011
Ohannes Tchekidjian,1215201883
Serop Zakaryan,1222543352
Suren Shadunts,1242146414
Usub Bek Temuryan,1243494457
Eduard von Grebmer zu Wolfsthurn,1216075327
Franz Dinghofer,1251039794
George Abraham von Dyhrn,1231555745
Heinrich Alfred Barb,1214670404
Joseph Buttinger,1214670744
Leopold Berchtold,1228353209
Prince Carl of Solms-Braunfels,1237091760
Richard von Coudenhove-Kalergi,1243336388
Eduard Hedvicek,1215043825
Friedhelm Frischenschlager,1223497595
Friedrich Wilhelm von Haugwitz,1215043658
Hans Ferlitsch,1240489075
Hans Peter Haselsteiner,1226351964
Hermann Stern,1215044008
Ulrich Habsburg-Lothringen,1216088776
Walter Guggenberger,1154443829
Anton Hofer,1215044432
Franz Jetzinger,1214236945
Hugo Jury,1225140706
Joseph Kenner,1169137921
Michael Killisch-Horn,1106829544
Sophia Kircher,1242552103
Theodor Kery,1215046740
Elmar Lichtenegger,1215483185
